,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.ncbi.nlm.nih.gov/gene/?term=,,,"Enter below the search word(s) contained in column E, gene description--current count for T cells is 9",,,,,,,,,,,,,,X11249_average counts,X11250_average counts,X11251_average counts,X11253_average counts,X11257_average counts,X11258_average counts,X11247_average counts,X11248_average counts,X11252_average counts,X11254_average counts,X11255_average counts,X11256_average counts,,,,,,0.05,2,-2
AI597468,AI597468,0,#N/A,#N/A,,#N/A,#N/A, 5.07 ,5,5.07,2.725857943,2.244008486,0.948604718,2.365588578,0.0180,0.99974,5,4.74, 3.5 , 12.6 , 5.7 , 4.3 , 1.2 , -   , 1.6 , -   , 1.6 , -   , 0.8 , 1.5 ,,,,,,,,
Pnpla8,Pnpla8,67452,"1200006O19Rik, AI467579, Ipla2(gamma)",patatin-like phospholipase domain containing 8,,12_44269130_44315935,10, 1.46 ,1,1.46,423.808778,0.542690746,0.230311044,2.356338356,0.0185,0.99974,1,1.46, 332.2 , 512.6 , 502.4 , 409.4 , 500.3 , 757.5 , 236.5 , 350.7 , 487.8 , 286.1 , 335.7 , 374.5 ,,,,,,,,
2210009G21Rik,2210009G21Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.34 ,3,-2.96,7.298824941,-1.502368134,0.639133457,-2.350632904,0.0187,0.99974,3,-2.83, 4.3 , 2.5 , 2.3 , 1.2 , 8.1 , 3.6 , 1.9 , 8.5 , 18.7 , 8.3 , 11.4 , 16.6 ,,,,,,,,
Adc,Adc,0,#N/A,#N/A,,#N/A,#N/A, 0.06 ,17,-16.73,1.821771951,-3.035797765,1.291770228,-2.350106621,0.0188,0.99974,8,-8.20, -   , -   , -   , 1.2 , -   , -   , 5.7 , 0.6 , 4.7 , 2.1 , -   , 7.6 ,,,,,,,,
1110028C15Rik,1110028C15Rik,0,#N/A,#N/A,,#N/A,#N/A, 4.37 ,4,4.37,2.517237031,2.106820399,0.899386194,2.342509161,0.0192,0.99974,4,4.31, 8.7 , -   , 6.9 , 3.1 , 2.3 , 3.6 , 1.2 , 1.8 , 1.6 , 1.0 , -   , -   ,,,,,,,,
Csde1,Csde1,229663,"AA960392, BC016898, D3Jfr1, mKIAA0885, unr","cold shock domain containing E1, RNA binding",,3_103020431_103058186,22, 1.46 ,1,1.46,314.6584082,0.545740261,0.233172051,2.340504615,0.0193,0.99974,1,1.46, 293.9 , 467.1 , 386.5 , 239.2 , 394.4 , 461.3 , 247.5 , 241.5 , 398.9 , 176.2 , 248.7 , 220.5 ,,,,,,,,
Thoc1,Thoc1,225160,"3110002N20Rik, AW107452, NMP-84",THO complex 1,,18_9958180_9995484,21, 0.38 ,3,-2.62,7.32515832,-1.366689132,0.587874912,-2.32479581,0.0201,0.99974,3,-2.58, 6.1 , 2.5 , 9.2 , 1.2 , 3.5 , 1.8 , 17.5 , 7.3 , 17.1 , 7.3 , 5.3 , 9.1 ,,,,,,,,
Bicd2,Bicd2,76895,0,bicaudal D homolog 2 (Drosophila),,13_49341549_49387026,9, 0.48 ,2,-2.08,9.959297678,-1.213402293,0.52231164,-2.323138526,0.0202,0.99974,2,-2.32, 2.6 , 12.6 , 5.7 , 2.5 , 8.1 , 7.2 , 10.8 , 14.0 , 20.3 , 11.4 , 21.4 , 3.0 ,,,,,,,,
G3bp2,G3bp2,23881,"AA409541, E430034L04Rik, G3BP, mKIAA0660",GTPase activating protein (SH3 domain) binding protein 2,,5_92052145_92137737,15, 1.44 ,1,1.44,440.4613459,0.525406707,0.226877219,2.315819587,0.0206,0.99974,1,1.44, 459.1 , 535.3 , 353.3 , 456.9 , 494.5 , 818.6 , 317.5 , 327.7 , 461.3 , 302.7 , 284.6 , 474.2 ,,,,,,,,
Wdr33,Wdr33,74320,"1110001N06Rik, 2310011G05Rik, 2810021O11Rik, 8430413N20Rik, WDC146",WD repeat domain 33,,18_31804057_31908987,25, 0.45 ,2,-2.22,19.67039491,-1.028373192,0.44430894,-2.314545351,0.0206,0.99974,2,-2.04, 8.7 , 2.5 , 17.2 , 29.0 , 7.0 , 9.0 , 13.9 , 21.8 , 20.3 , 30.1 , 37.4 , 39.3 ,,,,,,,,
7-Mar,42801,0,#N/A,#N/A,,#N/A,#N/A, 1.80 ,2,1.80,34.1246563,0.806510367,0.348488029,2.314312976,0.0207,0.99974,2,1.75, 37.4 , 40.4 , 40.1 , 30.8 , 69.8 , 44.9 , 43.0 , 26.1 , 31.2 , 9.3 , 19.8 , 16.6 ,,,,,,,,
Tusc2,Tusc2,80385,"1190001E22Rik, AA407686, Fus1, Lgcc, PAP, Pdap2",tumor suppressor candidate 2,,9_107563255_107566108,3, 0.62 ,2,-1.62,47.99353116,-0.691491699,0.300335383,-2.302398383,0.0213,0.99974,2,-1.61, 49.6 , 40.4 , 35.6 , 42.5 , 17.5 , 34.1 , 36.4 , 74.0 , 42.1 , 63.2 , 83.2 , 57.4 ,,,,,,,,
Arih1,Arih1,23806,"AU021774, Ari, Ari1, Hari, Hhari, Ubch7bp, Uip77",ariadne RBR E3 ubiquitin protein ligase 1,,9_59388554_59486659,16, 1.42 ,1,1.42,118.2760084,0.515379088,0.223985404,2.300949432,0.0214,0.99974,1,1.43, 121.7 , 121.2 , 187.0 , 118.4 , 138.5 , 147.2 , 98.2 , 114.1 , 109.1 , 60.1 , 80.1 , 123.8 ,,,,,,,,
Lims1,Lims1,110829,"2310016J22Rik, 4921524A02Rik, AI507642, AU021743, AW551584, C430041B13Rikl, PINCH, PINCH1, Lims1",LIM and senescent cell antigen-like domains 1,,10_58323434_58424691,15, 1.51 ,2,1.51,227.6292408,0.58920716,0.257266225,2.290262391,0.0220,0.99974,2,1.50, 158.3 , 320.7 , 386.5 , 178.2 , 342.1 , 256.7 , 228.0 , 140.8 , 247.8 , 141.0 , 153.4 , 178.2 ,,,,,,,,
2310009B15Rik,2310009B15Rik,69549,0,RIKEN cDNA 2310009B15 gene,,1_138851979_138856854,3, 0.51 ,2,-1.98,27.0768836,-0.896682163,0.392296998,-2.285722723,0.0223,0.99974,2,-1.86, 24.3 , 12.6 , 11.5 , 37.6 , 10.5 , 12.6 , 16.5 , 40.7 , 37.4 , 50.8 , 28.2 , 42.3 ,,,,,,,,
Usp25,Usp25,30940,0,ubiquitin specific peptidase 25,,16_77013683_77116783,26, 1.56 ,2,1.56,285.4320812,0.641328051,0.280694962,2.284786469,0.0223,0.99974,2,1.56, 238.3 , 411.6 , 365.9 , 157.8 , 478.2 , 436.2 , 247.6 , 167.5 , 364.7 , 180.4 , 174.7 , 202.4 ,,,,,,,,
Scoc,Scoc,56367,"0610011C06Rik, 2810002J11Rik, AA415030, SCOCO",short coiled-coil protein,,8_83434492_83458439,6, 1.48 ,1,1.48,169.9330813,0.569753025,0.24941697,2.284339451,0.0224,0.99974,1,1.48, 176.5 , 181.8 , 125.0 , 146.7 , 249.0 , 339.3 , 116.9 , 109.2 , 163.6 , 161.7 , 132.0 , 137.4 ,,,,,,,,
Mphosph9,Mphosph9,269702,"4930548D04Rik, 9630025B04Rik, AW413446, AW547060, B930097C17Rik, C87456, MPP-9, MPP9",M-phase phosphoprotein 9,,5_124250959_124330760,27, 7.26 ,7,7.26,1.837163323,2.464474369,1.079795875,2.282352088,0.0225,0.99974,6,5.52, 4.3 , 5.1 , 1.1 , 1.8 , 7.0 , -   , 0.7 , 1.2 , -   , -   , 0.8 , -   ,,,,,,,,
Fam55c,Fam55c,0,#N/A,#N/A,,#N/A,#N/A, 2.07 ,2,2.07,8.823614461,1.042523952,0.457135633,2.280557186,0.0226,0.99974,2,2.06, 18.3 , 12.6 , 8.0 , 10.5 , 5.8 , 16.2 , 5.2 , 5.5 , 6.2 , 6.2 , 6.9 , 4.5 ,,,,,,,,
Ranbp6,Ranbp6,240614,C630001B19,RAN binding protein 6,,19_29808108_29812974,1, 0.19 ,5,-5.23,2.459973438,-2.377037352,1.04267602,-2.27974683,0.0226,0.99974,5,-5.19, -   , -   , -   , 0.6 , 2.3 , 1.8 , 4.5 , 4.2 , 4.7 , -   , 2.3 , 9.1 ,,,,,,,,
H2afv,H2afv,77605,"C530002L11Rik, H2a.z-2, H2av","H2A histone family, member V",,11_6427226_6444449,6, 0.68 ,1,-1.46,102.4966559,-0.541482954,0.237581988,-2.279141436,0.0227,0.99974,1,-1.46, 107.8 , 96.0 , 68.8 , 91.9 , 61.7 , 73.6 , 85.3 , 123.2 , 106.0 , 103.7 , 171.7 , 140.4 ,,,,,,,,
Snap23,Snap23,20619,"23kDa, AA408749, SNAP-23, Sndt, Syndet",synaptosomal-associated protein 23,,2_120567653_120601255,11, 1.34 ,1,1.34,637.7619632,0.425657177,0.188637062,2.256487525,0.0240,0.99974,1,1.34, 637.4 , 792.9 , 762.8 , 553.0 , 729.5 , 911.9 , 467.3 , 595.9 , 723.1 , 546.2 , 422.7 , 510.4 ,,,,,,,,
Ncoa4,Ncoa4,27057,"ARA70, Rfg",nuclear receptor coactivator 4,,14_32159887_32179855,13, 1.44 ,1,1.44,4451.155897,0.529009321,0.235007278,2.251033779,0.0244,0.99974,1,1.44," 4,137.5 "," 6,007.2 "," 4,699.3 "," 4,090.2 "," 5,367.3 "," 7,248.6 "," 3,845.4 "," 3,807.5 "," 5,446.4 "," 2,349.8 "," 2,375.2 "," 4,039.7 ",,,,,,,,
Gm6377,Gm6377,622976,EG622976,predicted gene 6377,,X_109196756_109200445,2, 2.04 ,2,2.04,13.52240868,1.048754706,0.466168376,2.249733699,0.0245,0.99974,2,2.07, 15.7 , 22.7 , 16.1 , 22.2 , 19.8 , 12.6 , 7.1 , 17.0 , 18.7 , 5.2 , 2.3 , 3.0 ,,,,,,,,
Rbpms,Rbpms,19663,"2010300K22Rik, 2700019M19Rik, AU017537, RBP-MS, hermes",RNA binding protein gene with multiple splicing,,8_33782643_33929896,14, 0.21 ,5,-4.82,3.016472673,-2.112471427,0.939515367,-2.248469266,0.0245,0.99974,4,-4.32, 0.9 , -   , -   , 1.2 , 2.3 , 1.8 , 0.7 , 4.2 , 3.1 , 8.3 , 3.1 , 10.6 ,,,,,,,,
Mast2,Mast2,17776,"MAST205, Mtssk",microtubule associated serine/threonine kinase 2,,4_116306760_116464254,33, 0.28 ,4,-3.62,4.148650128,-1.718379154,0.765915236,-2.24356309,0.0249,0.99974,3,-3.29, 0.9 , -   , 5.7 , 1.8 , 2.3 , -   , 9.0 , 6.7 , 10.9 , 1.0 , 3.8 , 7.6 ,,,,,,,,
Zfp653,Zfp653,319601,"E430039K05Rik, Znf653",zinc finger protein 653,,9_22055411_22071376,9, 39.79 ,40,39.79,1.1790246,3.337891423,1.4915407,2.237881556,0.0252,0.99974,10,10.11, 0.9 , -   , 4.6 , -   , 1.2 , 7.2 , 0.3 , -   , -   , -   , -   , -   ,,,,,,,,
Tbc1d12,Tbc1d12,209478,BC033574,"TBC1D12: TBC1 domain family, member 12",,19_38836579_38919923,15, 0.16 ,6,-6.18,2.431776382,-2.462930231,1.101988223,-2.234987796,0.0254,0.99974,6,-5.51, 1.7 , -   , -   , -   , 2.3 , -   , 1.9 , 2.4 , 3.1 , 6.2 , 11.4 , -   ,,,,,,,,
Fam195a,Fam195a,68241,"9530058B02Rik, Mcrip2","family with sequence similarity 195, member A",,17_25863698_25868784,5, 0.18 ,5,-5.44,2.091194691,-2.236559757,1.002904917,-2.230081555,0.0257,0.99974,5,-4.71, 0.9 , -   , -   , 1.2 , -   , 1.8 , 2.1 , 3.0 , 3.1 , 3.1 , 3.8 , 6.0 ,,,,,,,,
Pdcd4,Pdcd4,18569,"D19Ucla1, Ma3, Tis",programmed cell death 4,,19_53892231_53929861,14, 0.33 ,3,-2.99,4.167475852,-1.704707702,0.768428261,-2.218434418,0.0265,0.99974,3,-3.26, 3.5 , 2.5 , 1.1 , 0.6 , 1.2 , 3.6 , 5.9 , 10.9 , 6.2 , 11.4 , 1.5 , 1.5 ,,,,,,,,
Mcat,Mcat,223722,"AI225907, BC025519",malonyl CoA:ACP acyltransferase (mitochondrial),,15_83546797_83555759,5, 0.61 ,2,-1.64,21.73002025,-0.761271104,0.343420254,-2.216733277,0.0266,0.99974,2,-1.69, 15.7 , 17.7 , 14.9 , 14.8 , 10.5 , 25.1 , 25.0 , 20.6 , 15.6 , 39.4 , 37.4 , 24.2 ,,,,,,,,
Slc39a9,Slc39a9,328133,"2010002A02Rik, 2610511I23Rik, 4833420E20Rik, AW209151","solute carrier family 39 (zinc transporter), member 9",,12_80644163_80683342,8, 0.38 ,3,-2.62,4.792577925,-1.451761112,0.655165737,-2.215868491,0.0267,0.99974,3,-2.74, 1.7 , -   , 3.4 , 1.8 , 3.5 , 5.4 , 9.0 , 9.7 , 3.1 , 11.4 , 5.3 , 3.0 ,,,,,,,,
Dguok,Dguok,27369,"dGK, dGK1, dGK2, dGK3",deoxyguanosine kinase,,6_83480214_83506969,9, 0.69 ,1,-1.45,38.91567209,-0.554934284,0.251151314,-2.209561541,0.0271,0.99974,1,-1.47, 33.0 , 42.9 , 31.0 , 35.8 , 20.9 , 26.9 , 50.1 , 47.3 , 49.9 , 45.6 , 42.7 , 40.8 ,,,,,,,,
Kctd5,Kctd5,69259,"2610030N08Rik, mKIAA0176",potassium channel tetramerisation domain containing 5,,17_24047720_24073485,6, 0.58 ,2,-1.71,19.86597396,-0.755766404,0.342057555,-2.209471454,0.0271,0.99974,2,-1.69, 10.4 , 7.6 , 16.1 , 19.1 , 18.6 , 16.2 , 29.7 , 29.1 , 20.3 , 34.2 , 19.1 , 18.1 ,,,,,,,,
Tdrd7,Tdrd7,100121,"5730495N10Rik, AI447470, PCTAIRE2BP",tudor domain containing 7,,4_45965027_46034766,20, 1.55 ,2,1.55,90.89112792,0.617604629,0.279957985,2.206061841,0.0274,0.99974,2,1.53, 133.9 , 146.5 , 111.3 , 73.4 , 98.9 , 98.7 , 98.0 , 75.2 , 107.5 , 60.1 , 35.9 , 51.3 ,,,,,,,,
Rmnd5b,Rmnd5b,66089,"0610039K22Rik, Gid2",required for meiotic nuclear division 5 homolog B,,11_51623673_51635896,10, 0.40 ,3,-2.50,11.6340923,-1.301418538,0.590005517,-2.205773506,0.0274,0.99974,2,-2.46, 8.7 , 2.5 , 4.6 , 1.8 , 18.6 , 3.6 , 32.6 , 9.7 , 32.7 , 7.3 , 8.4 , 9.1 ,,,,,,,,
Mink1,Mink1,50932,"B55, MINK, Map4k6, Ysk2",misshapen-like kinase 1 (zebrafish),,11_70562655_70614482,34, 23.10 ,23,23.10,1.393174802,3.061268179,1.391638677,2.199757904,0.0278,0.99974,8,8.35, 0.9 , 7.6 , 2.3 , -   , 3.5 , 1.8 , 0.7 , -   , -   , -   , -   , -   ,,,,,,,,
Zfp758,Zfp758,224598,BC021442,zinc finger protein 758,,17_22361453_22378734,4, 2.03 ,2,2.03,35.9757893,1.034768266,0.471129851,2.196354708,0.0281,0.99974,2,2.05, 15.7 , 60.6 , 42.4 , 22.2 , 44.2 , 104.1 , 16.6 , 18.2 , 68.6 , 15.5 , 11.4 , 12.1 ,,,,,,,,
Kcnj8,Kcnj8,16523,"AI448900, Kir6.1, gnite, slmbr, sltr, uKATP-1","potassium inwardly-rectifying channel, subfamily J, member 8",,6_142564837_142571647,3, 0.11 ,9,-8.77,1.435647379,-2.593626298,1.181068156,-2.196000532,0.0281,0.99974,6,-6.04, -   , -   , 1.1 , 0.6 , -   , -   , 1.7 , 2.4 , 1.6 , 5.2 , 3.1 , 1.5 ,,,,,,,,
Gm8817,Gm8817,667794,EG667794,predicted gene 8817,,X_167063449_167070370,5, -   ,#DIV/0!,#DIV/0!,1.219333239,-3.503476755,1.597199144,-2.193512793,0.0283,0.99974,11,-11.34, -   , -   , -   , -   , -   , -   , 4.0 , 5.5 , -   , 5.2 , -   , -   ,,,,,,,,
Mrpl28,Mrpl28,68611,"1110015G04Rik, L28mt, MAAT1, MRP-L28, p15",mitochondrial ribosomal protein L28,,17_26123503_26126613,5, 0.62 ,2,-1.61,39.4801702,-0.632001882,0.288282829,-2.192298047,0.0284,0.99974,2,-1.55, 27.0 , 22.7 , 19.5 , 49.9 , 33.7 , 28.7 , 35.2 , 44.3 , 54.5 , 51.8 , 58.0 , 48.3 ,,,,,,,,
4930512B01Rik,4930512B01Rik,74724,4930472D12Rik,RIKEN cDNA 4930512B01 gene,,12_69790344_69841880,8, 6.68 ,7,6.68,1.521969796,2.609427372,1.190949808,2.19104731,0.0284,0.99974,6,6.10, 1.7 , 2.5 , 5.7 , 1.2 , 4.7 , -   , 0.9 , -   , -   , -   , -   , 1.5 ,,,,,,,,
Dbnl,Dbnl,13169,"Abp1, SH3P7, mAbp1",drebrin-like,,11_5788483_5800980,13, 0.50 ,2,-1.99,11.90119037,-0.975442892,0.445898375,-2.187590144,0.0287,0.99974,2,-1.97, 13.9 , 2.5 , 5.7 , 6.2 , 10.5 , 9.0 , 23.6 , 20.0 , 15.6 , 17.6 , 9.2 , 9.1 ,,,,,,,,
Alkbh4,Alkbh4,72041,"2010004B12Rik, Abj4","alkB homolog 4, lysine demethylase",,5_136136083_136141800,5, 0.46 ,2,-2.18,9.397086409,-1.200658405,0.549181598,-2.186268458,0.0288,0.99974,2,-2.30, 3.5 , 7.6 , 2.3 , 4.3 , 3.5 , 14.4 , 13.7 , 3.6 , 18.7 , 12.4 , 7.6 , 21.1 ,,,,,,,,
Socs4,Socs4,67296,"3110032M18Rik, A730004F22Rik, AI427843, AU015727, AU015859, Socs7",suppressor of cytokine signaling 4,,14_47277143_47291591,2, 5.59 ,6,5.59,2.225484077,2.074484522,0.949401139,2.185045326,0.0289,0.99974,4,4.21, 2.6 , 10.1 , 4.6 , 1.2 , 2.3 , 1.8 , 1.0 , 1.2 , -   , 1.0 , 0.8 , -   ,,,,,,,,
Rasa4,Rasa4,54153,"AA793972, AW112107, BB079060, CAPRI, GAPL",RAS p21 protein activator 4,,5_136083916_136111860,21, 0.42 ,2,-2.38,8.603339986,-1.21803698,0.557507673,-2.184789626,0.0289,0.99974,2,-2.33, 7.0 , 2.5 , 11.5 , 4.3 , 3.5 , 1.8 , 23.4 , 6.1 , 17.1 , 9.3 , 12.2 , 4.5 ,,,,,,,,
Nol7,Nol7,70078,"2210008F15Rik, 5730556I21Rik, NOP27, RARG-1",nucleolar protein 7,,13_43398376_43402858,8, 1.40 ,1,1.40,103.8396924,0.499216634,0.228506633,2.184692093,0.0289,0.99974,1,1.41, 109.6 , 126.3 , 131.9 , 91.9 , 165.2 , 102.3 , 59.3 , 70.4 , 99.7 , 97.4 , 101.5 , 90.6 ,,,,,,,,
Khdrbs1,Khdrbs1,20218,"Sam68, p62, p68","KH domain containing, RNA binding, signal transduction associated 1",,4_129702380_129742768,11, 0.62 ,2,-1.61,27.99837431,-0.671097174,0.307373065,-2.183331107,0.0290,0.99974,2,-1.59, 20.9 , 20.2 , 20.6 , 16.6 , 32.6 , 18.0 , 37.3 , 32.2 , 53.0 , 30.1 , 22.9 , 31.7 ,,,,,,,,
Rnmtl1,Rnmtl1,0,#N/A,#N/A,,#N/A,#N/A, 3.00 ,3,3.00,5.38004333,1.573415403,0.721526804,2.180674918,0.0292,0.99974,3,2.98, 8.7 , -   , 2.3 , 6.2 , 15.1 , 16.2 , 3.3 , -   , 1.6 , 5.2 , 4.6 , 1.5 ,,,,,,,,
Pltp,Pltp,18830,"Bpife, OD107",phospholipid transfer protein,,2_164839518_164857708,16, 7.69 ,8,7.69,2.512616219,2.45784505,1.127575163,2.179761609,0.0293,0.99974,5,5.49, 0.9 , 2.5 , 4.6 , 0.6 , 16.3 , 1.8 , 2.3 , 1.2 , -   , -   , -   , -   ,,,,,,,,
Galnt1,Galnt1,14423,0,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1,,18_24205344_24286816,15, 1.40 ,1,1.40,2027.227616,0.483562927,0.222225152,2.17600448,0.0296,0.99974,1,1.40," 1,660.9 "," 2,613.5 "," 1,826.0 "," 2,239.9 "," 2,398.0 "," 3,443.0 "," 1,191.7 "," 1,628.0 "," 2,329.7 "," 1,457.3 "," 1,498.5 "," 2,040.2 ",,,,,,,,
Fgl2,Fgl2,14190,"AI385601, musfiblp",fibrinogen-like protein 2,,5_21372673_21378386,2, 1.49 ,1,1.49,120.8353237,0.572165061,0.262978301,2.175712057,0.0296,0.99974,1,1.49, 110.4 , 141.4 , 153.7 , 96.8 , 221.1 , 145.4 , 131.8 , 94.7 , 138.7 , 75.7 , 69.4 , 71.0 ,,,,,,,,
AI848100,AI848100,0,#N/A,#N/A,,#N/A,#N/A, 1.55 ,2,1.55,29.9388117,0.660660133,0.304975811,2.166270599,0.0303,0.99974,2,1.58, 36.5 , 35.4 , 33.3 , 37.0 , 27.9 , 48.5 , 19.4 , 18.8 , 21.8 , 12.4 , 29.0 , 39.3 ,,,,,,,,
Rpa2,Rpa2,19891,"AA409079, AI325195, AU020965, RPA34, Rf-A2",replication protein A2,,4_132768360_132778746,9, 0.65 ,2,-1.55,43.95382078,-0.6289243,0.291268166,-2.159262055,0.0308,0.99974,2,-1.55, 25.2 , 37.9 , 29.8 , 40.1 , 52.4 , 21.5 , 64.9 , 46.7 , 62.3 , 71.5 , 35.9 , 39.3 ,,,,,,,,
Cat,Cat,12359,"2210418N07, Cas-1, Cas1, Cs-1",catalase,,2_103453904_103485153,13, 1.44 ,1,1.44,6433.582928,0.521326939,0.242150674,2.152903111,0.0313,0.99974,1,1.44," 5,937.5 "," 8,807.5 "," 8,002.7 "," 4,913.3 "," 8,226.0 "," 9,614.5 "," 5,312.3 "," 5,306.9 "," 8,648.8 "," 3,340.7 "," 3,890.5 "," 5,202.5 ",,,,,,,,
Cacnb4,Cacnb4,12298,"3110038O15Rik, Cchb4, lh","calcium channel, voltage-dependent, beta 4 subunit",,2_52428320_52676609,16, 8.09 ,8,8.09,1.966839362,2.523671798,1.174636836,2.148469825,0.0317,0.99974,6,5.75, 0.9 , -   , 5.7 , 2.5 , 1.2 , 10.8 , 1.6 , -   , -   , 1.0 , -   , -   ,,,,,,,,
Mrs2,Mrs2,380836,"Gm902, HPTl, RPT, Mrs2",MRS2 magnesium transporter,,13_24987483_25020365,11, 0.44 ,2,-2.29,8.304652482,-1.252057805,0.582946639,-2.1478086,0.0317,0.99974,2,-2.38, 5.2 , 2.5 , 2.3 , 1.8 , 5.8 , 12.6 , 7.8 , 3.6 , 9.4 , 19.7 , 19.8 , 9.1 ,,,,,,,,
Kpna1,Kpna1,16646,"AW494490, IPOA5, NPI1, Rch2, mSRP1",karyopherin (importin) alpha 1,,16_35983363_36037136,16, 1.42 ,1,1.42,88.057474,0.511050857,0.238214118,2.145342437,0.0319,0.99974,1,1.43, 80.0 , 106.1 , 113.6 , 98.0 , 115.2 , 107.7 , 68.7 , 89.8 , 99.7 , 38.4 , 64.1 , 75.5 ,,,,,,,,
Tigd5,Tigd5,105734,"AA409802, AA409995, AI666797",tigger transposable element derived 5,,15_75909735_75914535,1, 0.25 ,4,-4.01,2.595150309,-2.624326305,1.22541441,-2.141582704,0.0322,0.99974,6,-6.17, -   , 5.1 , -   , -   , 1.2 , -   , 1.7 , 7.3 , 1.6 , -   , 0.8 , 13.6 ,,,,,,,,
2610029G23Rik,2610029G23Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.64 ,2,-1.55,45.68281671,-0.580419898,0.271060745,-2.141290873,0.0323,0.99974,1,-1.50, 40.9 , 25.3 , 43.6 , 43.2 , 38.4 , 23.3 , 35.0 , 68.0 , 67.0 , 49.8 , 56.5 , 57.4 ,,,,,,,,
Ikbip,Ikbip,67454,"1200009F10Rik, 1700023M03Rik, D18354, Ikip",IKBKB interacting protein,,10_91082691_91102613,6, 0.26 ,4,-3.89,2.751030182,-1.869586335,0.874066415,-2.13895226,0.0324,0.99974,4,-3.65, 0.9 , -   , 1.1 , 0.6 , 2.3 , 1.8 , 2.8 , 3.6 , 9.4 , 5.2 , 2.3 , 3.0 ,,,,,,,,
9430076G02Rik,9430076G02Rik,0,#N/A,#N/A,,#N/A,#N/A, 1.41 ,1,1.41,241.7887694,0.491434822,0.230025617,2.136435186,0.0326,0.99974,1,1.41, 288.7 , 406.5 , 242.0 , 213.9 , 239.7 , 308.8 , 250.2 , 209.3 , 268.0 , 145.1 , 135.8 , 193.3 ,,,,,,,,
Atp11a,Atp11a,50770,"4930558F19Rik, AU040868, Atpc1h, Ih","ATPase, class VI, type 11A",,8_12757016_12868728,33, 4.87 ,5,4.87,2.153470688,2.266984986,1.062137773,2.134360574,0.0328,0.99974,5,4.81, -   , 2.5 , 3.4 , 6.2 , 9.3 , -   , 0.9 , 1.2 , 1.6 , -   , 0.8 , -   ,,,,,,,,
Taf1a,Taf1a,21339,"TAFI48, mTAFI48","TATA-box binding protein associated factor, RNA polymerase I, A",,1_183388885_183410201,11, 2.82 ,3,2.82,4.576308193,1.398108758,0.656454026,2.129789297,0.0332,0.99974,3,2.64, 5.2 , 10.1 , 11.5 , 3.7 , 4.7 , 5.4 , 2.6 , 1.8 , 3.1 , -   , 5.3 , 1.5 ,,,,,,,,
Tmem159,Tmem159,233806,8430420C20Rik,transmembrane protein 159,,7_120102426_120120987,6, 0.18 ,6,-5.54,1.787945378,-2.461987502,1.159574633,-2.12318158,0.0337,0.99974,6,-5.51, 0.9 , -   , -   , 0.6 , -   , 1.8 , 1.7 , 8.5 , -   , 4.1 , 2.3 , 1.5 ,,,,,,,,
Selm,Selm,0,#N/A,#N/A,,#N/A,#N/A, 0.61 ,2,-1.64,48.14923061,-0.711798118,0.335391032,-2.122293235,0.0338,0.99974,2,-1.64, 47.8 , 42.9 , 29.8 , 48.1 , 14.0 , 35.9 , 40.9 , 66.7 , 24.9 , 64.3 , 77.8 , 84.6 ,,,,,,,,
Acbd5,Acbd5,74159,1300014E15Rik,acyl-Coenzyme A binding domain containing 5,,2_23067689_23114513,15, 1.67 ,2,1.67,67.54005986,0.742417283,0.350098746,2.120593953,0.0340,0.99974,2,1.67, 65.2 , 126.3 , 51.6 , 65.4 , 90.8 , 107.7 , 49.2 , 45.5 , 85.7 , 49.8 , 11.4 , 61.9 ,,,,,,,,
Fmr1,Fmr1,14265,"FMRP, Fmr-1",fragile X mental retardation syndrome 1,,X_68678541_68717963,17, 2.13 ,2,2.13,9.892391054,1.022776803,0.483350547,2.116014577,0.0343,0.99974,2,2.03, 15.7 , 20.2 , 13.8 , 9.2 , 5.8 , 16.2 , 8.5 , 1.8 , 3.1 , 6.2 , 9.2 , 9.1 ,,,,,,,,
Phf10,Phf10,72057,"1810055P05Rik, AV024533",PHD finger protein 10,,17_14944994_14961638,12, 1.66 ,2,1.66,56.26816284,0.706609488,0.334226164,2.11416569,0.0345,0.99974,2,1.63, 46.1 , 121.2 , 58.5 , 43.2 , 66.3 , 86.2 , 56.0 , 29.7 , 59.2 , 15.5 , 38.9 , 54.4 ,,,,,,,,
Tor2a,Tor2a,30933,Prosalusin,"torsin family 2, member A",,2_32757234_32762250,5, 0.65 ,2,-1.55,36.31822918,-0.632650795,0.301102015,-2.10111777,0.0356,0.99974,2,-1.55, 35.7 , 27.8 , 27.5 , 22.2 , 45.4 , 12.6 , 59.3 , 42.5 , 42.1 , 48.7 , 40.4 , 31.7 ,,,,,,,,
Rnf2,Rnf2,19821,"AI326319, AI450156, AU019207, Ring1B, dinG",ring finger protein 2,,1_151469406_151500922,8, 1.53 ,2,1.53,50.95523913,0.593275126,0.282453941,2.100431396,0.0357,0.99974,2,1.51, 64.3 , 75.8 , 61.9 , 33.9 , 57.0 , 77.2 , 40.9 , 53.4 , 35.8 , 41.5 , 21.4 , 48.3 ,,,,,,,,
